timestamp,open,high,low,close,volume
2019-06-07,18.4800,18.4800,18.4000,18.4600,42300
2019-06-06,18.3600,18.5000,18.3600,18.4600,74800
2019-06-04,18.3800,18.4000,18.3400,18.3600,201300
2019-06-03,18.2000,18.3800,18.2000,18.3400,48600
2019-05-31,18.3000,18.4000,18.2600,18.2600,55700
2019-05-30,18.1800,18.4000,18.1400,18.3000,46500
2019-05-29,18.1600,18.5000,18.1400,18.2000,28500
2019-05-28,18.1800,18.2000,18.1000,18.1600,77200
2019-05-24,18.5600,18.6000,18.3000,18.6000,53900
2019-05-23,18.9000,18.9000,18.5000,18.5600,131100
2019-05-22,18.8800,19.0000,18.8400,18.9000,188500
2019-05-21,19.0000,19.0800,18.8600,18.8600,75700
2019-05-20,19.1800,19.1800,18.8800,19.0000,374900
2019-05-17,19.0200,19.2000,19.0200,19.1000,166200
2019-05-16,19.0000,19.2000,18.9600,19.0000,67200
2019-05-15,18.9400,19.0000,18.9400,18.9600,97600
2019-05-14,19.0000,19.0000,18.8800,18.9400,51600
2019-05-13,19.0200,19.0200,19.0200,19.0200,0
2019-05-10,19.2000,19.2000,19.0000,19.0200,43500
2019-05-09,19.2000,19.2600,19.0600,19.2000,155400
2019-05-08,19.3800,19.3800,19.1400,19.1400,48800
2019-05-07,19.3200,19.3600,19.3000,19.3600,50300
2019-05-06,19.3000,19.4000,19.3000,19.3200,95000
2019-05-03,19.1600,19.3000,19.1600,19.3000,39700
2019-05-02,18.9400,19.2000,18.9000,19.1600,46200
2019-05-01,18.9400,18.9400,18.9400,18.9400,0
2019-04-30,19.0000,19.0000,18.9200,18.9400,49700
2019-04-29,19.0000,19.0000,18.9000,18.9400,66500
2019-04-26,19.0200,19.1400,18.9000,19.0000,102500
2019-04-25,19.2000,19.2000,19.0000,19.0400,95800
2019-04-24,19.0200,19.3200,18.9000,19.2000,324800
2019-04-23,19.4800,19.5000,19.3400,19.3400,246100
2019-04-22,19.4800,19.7200,19.4600,19.4800,63500
2019-04-18,19.4800,19.4800,19.4800,19.4800,0
2019-04-17,19.5000,19.6000,19.3600,19.4800,56600
2019-04-16,19.5000,19.6800,19.4000,19.5000,140800
2019-04-15,19.9800,20.1000,19.3000,19.3400,141700
2019-04-12,19.9800,20.3500,19.9800,20.0000,128000
2019-04-11,20.2000,20.3000,19.9800,20.0000,38600
2019-04-10,20.0000,20.1500,19.9800,20.1500,186000
2019-04-09,19.7600,19.7600,19.7600,19.7600,0
2019-04-08,20.0000,20.0500,19.7600,19.7600,77000
2019-04-05,20.0000,20.0000,19.5000,19.8000,196200
2019-04-04,19.7000,20.3000,19.5000,20.0000,214700
2019-04-03,20.1000,20.1000,19.7000,19.8000,102300
2019-04-02,19.9200,20.8500,19.9200,19.9600,125600
2019-04-01,20.5500,20.5500,19.9000,19.9200,546300
2019-03-29,20.9000,21.1500,20.2500,20.8000,332300
2019-03-28,21.2000,21.2000,20.8000,20.8000,93300
2019-03-27,21.3000,21.3000,20.9000,20.9000,319800
2019-03-26,21.3500,21.3500,21.2500,21.3500,24200
2019-03-25,21.4500,21.4500,20.8000,21.1500,82200
2019-03-22,20.9000,21.4500,20.9000,21.4500,63800
2019-03-21,20.4000,20.8500,20.3500,20.8500,47300
2019-03-20,20.5000,20.5000,20.3500,20.3500,22800
2019-03-19,20.6500,20.7500,20.5500,20.6000,65800
2019-03-18,20.3000,20.8000,20.3000,20.5000,70400
2019-03-15,20.5500,20.9000,20.4000,20.4000,49900
2019-03-14,20.8000,20.8000,20.5500,20.5500,29600
2019-03-13,21.3000,21.3000,20.5000,20.8000,75800
2019-03-12,21.3000,21.4000,21.2000,21.2500,133900
2019-03-11,21.0000,21.2000,20.4000,21.2000,46100
2019-03-08,21.4000,21.4000,21.0000,21.3000,64200
2019-03-07,21.3000,21.5000,21.3000,21.4000,47200
2019-03-06,21.0000,21.5000,21.0000,21.3500,46800
2019-03-05,21.5000,21.7000,21.0000,21.0000,162700
2019-03-04,21.3500,21.8000,21.3500,21.5000,365200
2019-03-01,22.2000,22.7000,21.3000,21.3500,125700
2019-02-28,22.2000,22.7500,21.7500,21.9500,231900
2019-02-27,22.3500,22.7500,22.2000,22.2000,74000
2019-02-26,22.8500,22.8500,22.1000,22.3500,57400
2019-02-25,22.8500,22.8500,22.8500,22.8500,0
2019-02-22,22.3000,23.0000,22.1500,22.8500,100700
